Titulo,Estreno,Pais,Idiomas,Direccion,Nota,Productoras,Clasificacion,Actor1,Actor2,Actor3,Actor4,Actor5,Actor6,Premios,Sinopsis,Genero1,Genero2,Duracion
When the Lights Went Out,2012,Reino Unido,Ingles,Pat Holden,4.7,Miramax,R,Kate Ashfield, Steven Waddington, Tasha Connor, Andrea Lowe, Peter Egan, Jo Hartley,Mejor Director,"Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",Terror,,90
Agua,2005,India,Hindi,Deepa Mehta,7.4,Working Title Films,G,Sarala Kariyawasam, Seema Biswas, Lisa Ray, John Abraham, Buddhi Wickrama, Rishma Malik,,Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,Drama,,120
Work It: Al ritmo de los sueños,2020,Estados Unidos,Ingles,Laura Terruso,4.8,MGM Studios,NR,Jordan Fisher, Sabrina Carpenter, Keiynan Lonsdale, Michelle Buteau, Drew Tanner, Liza Koshy,,Pellentesque at nulla. Suspendisse potenti.,Comedia,,90
Plan de escape 2: Hades,2018,Estados Unidos,Ingles,Steven C. Miller,3.2,Miramax,NR,Sylvester Stallone, Dave Bautista, Huang Xiaoming, Jaime King, Jesse Metcalfe, Wes Chatham,Mejor Guión,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim.",Acción, Thriller,90
Cracks,2009,Irlanda,,Jordan Scott,6.2,Blumhouse Productions,PG,Eva Green, María Valverde, Juno Temple, Sinead Cusack, Imogen Poots, Ellie Nunn,Mejor Película,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum.",Drama,,90
Z for Zachariah,2015,Estados Unidos,Ingles,Craig Zobel,5.5,Walt Disney Pictures,G,Margot Robbie, Chiwetel Ejiofor, Chris Pine,,,,,Etiam vel augue. Vestibulum rutrum rutrum neque.,Ciencia ficción, Drama,
Soft for Digging,2001,Estados Unidos,Ingles,J.T. Petty,5.4,Paramount Pictures,PG,Edmond Mercier, Sarah Ingerson, Andrew Hewitt, Kate Petty, Wayne Nickel, Joshua Billings,,"In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",Terror, Thriller,90
Blank: A Vinylmation Love Story,2014,Estados Unidos,Ingles,"Mike Ambs, Paul Foyder, Regino Roy III, Whitfield Scheidegger, Greg Shewchuk",6.3,20th Century Studios,R,,,,,,,,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus.",Romance,,90
Los zapatos rojos,2005,Corea del Sur,Coreano,Yong-gyun Kim,4.8,Annapurna Pictures,PG-13,Kim Hye-soo, Yeon-ah Park, Seong-su Kim, Go Su-hee, Eol Lee, Hyon-Jin Sa,,"Fusce consequat. Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus.",Intriga, Terror,90
La noche del virgen,2016,España,Español,Roberto San Sebastián,4.3,A24,NC-17,Javier Bódalo, Miriam Martín, Víctor Amilibia,,,,,Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.,Fantástico, Terror,90
Fortunata,2017,Italia,Italiano,Sergio Castellitto,5.4,Columbia Pictures,MA,Jasmine Trinca, Stefano Accorsi, Alessandro Borghi, Edoardo Pesce, Rosa Diletta Rossi, Liliana Fiorelli,,Phasellus in felis. Donec semper sapien a libero.,Comedia,,45
Ella &amp; él,2015,Perú,Español,Frank Pérez-Garland,4.8,DreamWorks Pictures,G,Vanessa Saba, Giovanni Ciccia, Gianella Neyra, Lucho Cáceres, Claudia Berninzon, Alejandra Saba,Mejor Diseño de Vestuario,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",Romance,,120
Schutzengel,2012,Alemania,Aleman,Til Schweiger,5.8,DreamWorks Pictures,A,Til Schweiger, Luna Schweiger, Moritz Bleibtreu, Karoline Schuch, Herbert Knaup, Kostja Ullmann,Mejor Director,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt.,Acción, Thriller,90
La cabeza alta,2015,Francia,Frances,Emmanuelle Bercot,5.8,DreamWorks Pictures,MA,Rod Paradot, Catherine Deneuve, Sara Forestier, Benoît Magimel, Aurore Broutin, Ludovic Berthillot,Mejor Guión,"Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.",Drama,,90
Sé quién me mató,2007,Estados Unidos,Ingles,Chris Sivertson,3.6,Annapurna Pictures,MA,Lindsay Lohan, Julia Ormond, Neal McDonough, Brian Geraghty, Paula Marshall, Bonnie Aarons,,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",Intriga, Thriller,120
Paulina,2015,Argentina,Español,Santiago Mitre,6.2,Toho Company,PG,Dolores Fonzi, Oscar Martínez, Esteban Lamothe, Cristian Salguero, Laura López Moyano,,Mejor Edición,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,Thriller,,
Wake,2009,Estados Unidos,Ingles,Ellie Kanner,4.7,Paramount Pictures,NR,Bijou Phillips, Ian Somerhalder, Jane Seymour, Danny Masterson, Marguerite Moreau, Sprague Grayden,Mejor Banda Sonora Original,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.",Romance,,60
Pig Hunt,2008,Estados Unidos,Ingles,James Isaac,3.8,Walt Disney Pictures,PG-13,Travis Wade, Tina Huang, Howard Johnson Jr., Trevor Bullock, Jason Foster, Rajiv Shah,,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",Acción, Terror,120
Estigmas,2009,España,Español,Adán Aliaga,4.3,DreamWorks Pictures,R,Manuel Martínez, Marieta Orozco, Núria Casas, Martha Carbonell, Ferran Lahoz, Lourdes Barba,Mejor Edición,"In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum.",Fantástico,,90
The Aviatrix of Kazbek,2010,Bajos (Holanda),,Ineke Smits,4.4,Columbia Pictures,MA,Madelief Blanken, Zurab Jgenti, Kakha Kintsurashvili, Dato Roinishvili, Peter Lohmeyer, Sylvia Poorta,Mejor Película,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat.",Romance,,
Logan,2017,Estados Unidos,Ingles,James Mangold,6.9,Miramax,G,Hugh Jackman, Patrick Stewart, Dafne Keen, Boyd Holbrook, Stephen Merchant, Elizabeth Rodriguez,Mejor Director,Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla.,Acción, Ciencia ficción,90
Todas las canciones hablan de mí,2010,España,Español,Jonás Trueba,5.9,Miramax,PG,Oriol Vila, Bárbara Lennie, Miriam Giovanelli, Ramón Fontserè, Eloy Azorín, Valeria Alonso,Mejor Banda Sonora Original,"Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum.",Drama, Romance,90
Moss,2010,Corea del Sur,Coreano,Kang Woo-suk,6.1,Miramax,A,Jung Jae-young, Park Hae-Il, Yu Jun-sang, Yoo Sun, Kim Joon-bae, Kim Sang-ho,,Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.,Intriga, Thriller,90
Heidi,2015,Alemania,Aleman,Alain Gsponer,6.3,Columbia Pictures,G,Anuk Steffe, Bruno Ganz, Katharina Schüttler, Jella Haase, Maxim Mehmet, Peter Lohmeyer,,"Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis.",Drama,,120
El manuscrito Lovecraft,2005,Italia,Italiano,"Federico Greco, Roberto Leggio",2.8,Annapurna Pictures,A,Eraldo Baldini, Alfredo Castelli, Donatella Ceccarello, Chiara Crepaldi, Gianfranco de Turris, Sebastiano Fusco,,Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.,Thriller,,
The Hospital 2,2015,Estados Unidos,Ingles,"Jim O'Rear, Daniel E. Taylor",1.8,Gaumont Film Company,MA,Scott Tepperman, Betsy Rue, Jim O'Rear, Alicia M. Clark, Daniel E. Taylor, Megan Hunt,Mejor Diseño de Producción,"Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus. Pellentesque eget nunc.",Terror,,60
Nails,2017,Irlanda,,Dennis Bartok,4.2,Constantin Film,NR,Shauna Macdonald, Ross Noble, Steve Wall, Charlotte Bradley, Leah McNamara, Robert O'Mahoney,Mejor Guión,"In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",Terror,,120
Descongélate,2003,España,Español,"Félix Sabroso, Dunia Ayaso",5.5,Studio Ghibli,NR,Pepón Nieto, Candela Peña, Loles León, Rubén Ochandiano, Óscar Jaenada, José Ángel Egido,Mejor Banda Sonora Original,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,Comedia,,
Los parecidos,2015,México,Español,Isaac Ezban,5,Gaumont Film Company,MA,Gustavo Sánchez Parra, Cassandra Ciangherotti, Humberto Busto, Fernando Becerril, Carmen Beato, Santiago Torres,,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.",Ciencia ficción, Fantástico,60
Bar El Chino,2003,Argentina,Español,Daniel Burak,6.2,New Line Cinema,MA,Boy Olmi, Jimena La Torre, Pasta Dioguardi, Néstor Sánchez, Juan Pablo Ballinou, Lucas Santa Ana,Mejor Actriz Principal,"Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",Drama,,120
Thunderbirds,2004,Reino Unido,Ingles,Jonathan Frakes,3.4,20th Century Studios,PG,Bill Paxton, Ben Kingsley, Anthony Edwards, Brady Corbet, Debora Weston, Soren Fulton,,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.",Acción, Aventuras,90
